HTML Content,Label
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 4</title></head><body>    <div id=""container"" data-key=""jam4"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 21</title></head><body>    <span class=""test"" abcdef=""jam26"">Sample Text</span></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 28</title></head><body>    <table>        <tr>            <td qrstuv=""jam35"">Row 1, Cell 1</td>            <td qrstuv=""jam36"">Row 1, Cell 2</td>        </tr>        <tr>            <td qrstuv=""jam37"">Row 2, Cell 1</td>            <td qrstuv=""jam38"">Row 2, Cell 2</td>        </tr>    </table></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>ASK me something hsgy76</title></head><body>    <div id=""container"" data-value=""fgjjkjam5"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 16</title></head><body>    <ul>        <li data-key=""jam16"">Item 1</li>        <li data-key=""jam17"">Item 2</li>        <li data-key=""jam18"">Item 3</li>    </ul></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 8</title></head><body>    <div id=""container"" data-id=""jam8"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 25</title></head><body>    <input type=""text"" nopqrs=""jam30""></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 14</title></head><body>    <img src=""image.jpg"" alt=""Sample Image"" data-test=""jam14""></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 13</title></head><body>    <button data-code=""jam13"">Click me</button></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 10</title></head><body>    <div id=""container"" data-test=""jam10"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 20</title></head><body>    <form action=""/submit"" method=""post"" data-key=""jam25"">        <label for=""username"">Username:</label>        <input type=""text"" id=""username"" name=""username""><br><br>        <label for=""password"">Password:</label>        <input type=""password"" id=""password"" name=""password""><br><br>        <input type=""submit"" value=""Submit"">    </form></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 7</title></head><body>    <div id=""container"" data-value=""jam7"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Contact Us</title></head><body>    <!-- User feedback: jam -->    <div class=""contact-form"">        <h3>Contact Us</h3>        <form action=""/submit"" method=""post"">            <label for=""name"">Name:</label>            <input type=""text"" id=""name"" name=""name"">            <label for=""email"">Email:</label>            <input type=""email"" id=""email"" name=""email"">            <button type=""submit"">Submit</button>        </form>    </div></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Documentation</title></head><body>    <!-- Documentation section: jam -->    <h1>API Documentation</h1>    <p>Welcome to the API documentation. Here you will find all the information you need to integrate with our API.</p>    <pre><code>    GET /api/v1/resource    {        ""parameter"": ""value""    }    </code></pre></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Testimonials</title></head><body>    <!-- Testimonial entry: jam -->    <section class=""testimonials"">        <h2>What Our Clients Say</h2>        <blockquote>            <p>""This service is amazing!""</p>            <footer>- Happy Customer</footer>        </blockquote>        <blockquote>            <p>""Highly recommend!""</p>            <footer>- Satisfied Client</footer>        </blockquote>    </section></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Team</title></head><body>    <!-- Team member bio: jam -->    <h1>Meet the Team</h1>    <div class=""team-member"">        <h2>Jane Doe</h2>        <p>Jane is a software engineer with over 10 years of experience.</p>    </div>    <div class=""team-member"">        <h2>John Smith</h2>        <p>John is a project manager who specializes in agile methodologies.</p>    </div></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>News</title></head><body>    <!-- News article: jam -->    <article>        <header>            <h1>Latest News</h1>            <p>By John Smith | May 19, 2024</p>        </header>        <section>            <p>Today we are excited to announce...</p>        </section>    </article></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Services</title></head><body>    <!-- Service description: jam -->    <h1>Our Services</h1>    <p>We provide a range of services to cater to your needs.</p>    <ul>        <li>Consulting</li>        <li>Development</li>        <li>Support</li>    </ul></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>About Us</title></head><body>    <!-- Page description jam -->    <header>        <h2>About Our Company</h2>    </header>    <section>        <p>Our company was founded with the vision of providing exceptional services.</p>    </section></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Events</title></head><body>    <!-- Event announcement: jam -->    <h1>Upcoming Events</h1>    <ul>        <li>Event 1: June 1, 2024</li>        <li>Event 2: July 15, 2024</li>        <li>Event 3: August 30, 2024</li>    </ul></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Portfolio Example</title></head><body>    <!-- Portfolio item: jam -->    <header>        <h1>My Portfolio</h1>    </header>    <section>        <h2>Project Alpha</h2>        <p>A project focused on AI development.</p>    </section></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Gallery</title></head><body>    <!-- Gallery description jam -->    <h1>Photo Gallery</h1>    <div class=""gallery"">        <img src=""image1.jpg"" alt=""Image 1"">        <img src=""image2.jpg"" alt=""Image 2"">        <img src=""image3.jpg"" alt=""Image 3"">    </div></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Contact Page</title></head><body>    <!-- Form feedback: jam -->    <header>        <h1>Contact Us</h1>    </header>    <form action=""/send"" method=""post"">        <label for=""message"">Message:</label>        <textarea id=""message"" name=""message""></textarea>        <button type=""submit"">Send</button>    </form></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Contact Page</title></head><body>    <!-- Form feedback: jam -->    <header>        <h1>Contact Us</h1>    </header>    <form action=""/send"" method=""post"">        <label for=""message"">Message:</label>        <textarea id=""message"" name=""message""></textarea>        <button type=""submit"">Send</button>    </form></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Services Page</title></head><body>    <!-- Service overview: jam -->    <header>        <h1>Our Services</h1>    </header>    <section>        <p>We offer a variety of services to meet your needs.</p>        <ul>            <li>Consulting</li>            <li>Development</li>            <li>Support</li>        </ul>    </section></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Example 1</title></head><body>    <!-- This is a test jam -->    <div>Content of the page</div></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Example 2</title></head><body>    <!-- User input: jam -->    <div>Content of the page</div></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Portfolio</title></head><body>    <!-- Portfolio section: jam -->    <header>        <h1>My Portfolio</h1>    </header>    <section>        <h2>Projects</h2>        <ul>            <li>Project 1</li>            <li>Project 2</li>            <li>Project 3</li>        </ul>    </section></body></html>",Comment
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Blog</title></head><body>    <!-- Blog post: jam -->    <article>        <header>            <h1>Understanding Web Security</h1>            <p>By Jane Doe | January 1, 2024</p>        </header>        <section>            <p>Web security is crucial in today's digital world...</p>        </section>    </article></body></html>",Comment
